company,annual_report,400_owners_index,sustainable_development_present,responsible_investment_esg_present,green_growth_present,net_zero_present,decarbonization_present,transition_finance_present,conservation_finance_present,lang_report,country,assets,validation,cosine_similarity_best,matched_company_in_memberships,membership_1,type_1,membership_2,type_2,membership_3,type_3,membership_4,type_4,membership_5,type_5,membership_6,type_6,membership_7,type_7,membership_8,type_8
Nokia USA,Nokia-USA-Annual-Report-2023,278,False,True,False,False,False,False,False,English,USA,38.0,0,0.32341010272307286,ORIX Corporation USA,,,,,,,,,,,,,,,,
Commonwealth Superannuation Corporation,Commonwealth-Superannuation-Corporation-Annual-Report-2023,279,True,True,True,False,True,True,False,English,Australia,38.0,0,0.9999999999999998,Commonwealth Superannuation Corporation,Montreal Carbon Pledge,,,,,,,,,,,,,,,
AFP Capital,,280,,,,,,,,,Chile,37.0,0,1.0000000000000002,AFP Capital,UNPRI,General,,,,,,,,,,,,,,
Pennsylvania State Employees' Retirement System,PSERS-Annual-Comprehensive-Report-2023,281,False,False,False,False,False,False,False,English,USA,36.0,1,0.5579908320054053,Employees Retirement System of the State of Hawaii,,,,,,,,,,,,,,,,
Utah Retirement Systems,URS-Annual-Comprehensive-Report-2023,282,False,False,False,False,False,False,False,English,USA,36.0,1,0.50293603071099,Boston Retirement System,,,,,,,,,,,,,,,,
Social Insurance Funds,,283,,,,,,,,,Vietnam,36.0,0,0.665873541611796,AG Insurance,,,,,,,,,,,,,,,,
Public Employees' Retirement System of Mississippi,PERSM-Annual-Comprehensive-Report-2023,284,False,False,False,False,False,False,False,English,USA,36.0,1,0.5905218100679055,Maine Public Employee Retirement System,,,,,,,,,,,,,,,,
Massachusetts Teachers' Retirement System,MTRS-Annual-Statement-2023,285,False,True,False,False,False,False,False,English,USA,35.0,0,0.5760431550752194,Massachusetts Financial Services,,,,,,,,,,,,,,,,
Japan Post Bank,JPB-Annual-Report-2023,286,True,False,False,True,True,False,False,English,Japan,35.0,0,1.0000000000000004,"Japan Post Bank Co., Ltd",PCAF,Climate Change,TNFD Forum,Climate Change,,,,,,,,,,,,
Exxon Mobil Pension Fund,,287,,,,,,,,,USA,35.0,0,0.39647264226008566,BP Pension Fund,,,,,,,,,,,,,,,,
AFP Cuprum,AFP-Cuprum-Memoria-Anual-2023,288,True,True,True,False,False,False,False,Spanish,Chile,35.0,0,1.0000000000000004,Cuprum afp,UNPRI,General,,,,,,,,,,,,,,
New York State Deferred Compensation Plan,,289,,,,,,,,,USA,34.0,0,0.4322636589772278,Accident Compensation Corporation,,,,,,,,,,,,,,,,
Princeton University Investment Company,Princeton-Treasurer-2023,290,False,False,False,False,False,False,False,English,USA,34.0,1,0.46116970746443586,Carleton University,,,,,,,,,,,,,,,,
Korea Investment Management,,291,,,,,,,,,South Korea,34.0,0,0.9011458164027436,Korea Investment Corporation,UNPRI,General,,,,,,,,,,,,,,
Alaska Retirement Management Board,,292,,,,,,,,,USA,34.0,0,0.6825015147461517,Alaska Asset Management,,,,,,,,,,,,,,,,
San Francisco City & County,SFCC-Annual-Comprehensive-Report-2023,293,False,True,False,False,False,False,False,English,USA,34.0,0,0.5801165650496922,"Francisco Partners Management, L.P.",,,,,,,,,,,,,,,,
San Francisco Employees' Retirement System,SFERS-Annual-Report-2023,294,False,True,False,False,False,False,False,English,USA,34.0,0,1.0,San Francisco Employees Retirement System,UNPRI,General,CA100+,Climate change,Ceres Investor Network on Climate Risk and Sustainability,General,,,,,,,,,,
Ontario Power Generation,OPG-Integrated-ESG-Annual-Report-2023,295,True,False,False,False,False,False,False,English,Canada,33.0,0,0.4740484459514895,Capital Generation Partners,,,,,,,,,,,,,,,,
Illinois State Board of Investment,ISBI-Annual-Report-2023,296,False,False,False,False,False,False,False,English,USA,32.0,1,0.617854295703988,Illinois State Treasurer,,,,,,,,,,,,,,,,
Los Angeles Fire and Police Pension Fund,LAFPPF-Annual-Report-2023,297,False,False,False,False,False,False,False,English,USA,31.0,1,0.5940090813763758,Los Angeles Capital,,,,,,,,,,,,,,,,
Chevron Corporation Pension Fund,Chevron-Annual-Funding-Notice-2023,298,False,True,False,False,False,False,False,English,USA,31.0,0,0.4307221225537686,BP Pension Fund,,,,,,,,,,,,,,,,
Wyoming State Treasurer's Office,WSTO-Annual-Report-2023,299,False,True,False,False,False,False,False,English,USA,31.0,0,0.657406518325162,Vermont State Treasurer's Office,,,,,,,,,,,,,,,,
Honeywell Pension,,300,,,,,,,,,USA,31.0,0,0.32067177562305066,AP Pension,,,,,,,,,,,,,,,,
CVS Health,CVS-Health-Annual-Report-2023,301,True,True,False,True,True,False,False,English,USA,31.0,0,0.47413914221479053,SV Health Managers LLP,,,,,,,,,,,,,,,,
BC Public Sector Pension Plans,BCPSPP-Annual-Report-2023,302,True,True,True,True,False,False,False,English,Canada,31.0,0,0.6802011790689041,Public Sector Pension Investment Board,,,,,,,,,,,,,,,,
Commonfund,,303,,,,,,,,,USA,30.0,0,1.0000000000000004,Commonfund,UNPRI,General,,,,,,,,,,,,,,
Funds SA,Funds-SA-Annual-Review-2023,304,True,True,False,True,False,True,False,English,Australia,30.0,1,1.0,Funds SA,UNPRI,General,,,,,,,,,,,,,,
Pfizer Pension Fund,,305,,,,,,,,,USA,30.0,0,0.4473230873245324,BP Pension Fund,,,,,,,,,,,,,,,,
QBE Insurance Group,QBE-Annual-Report-2023,306,False,True,False,True,True,True,False,English,Australia,30.0,0,1.0000000000000002,QBE Insurance Group,Principles for Sustainable Insurance,General,Investor Group on Climate Change,,UNPRI,General,,,,,,,,,,
Procter & Gamble Pension Fund,,307,,,,,,,,,USA,30.0,0,0.3495660398131142,BP Pension Fund,,,,,,,,,,,,,,,,
Togethr Super (Equip & Catholic Super),Togethr-Super-Annual-Report-2023,308,True,True,False,False,True,False,False,English,Australia,30.0,0,0.7126050284696882,Catholic Super,,,,,,,,,,,,,,,,
AT&T Retirement Fund,,309,,,,,,,,,USA,30.0,0,0.8241159671071117,LA Retirement Fund,,,,,,,,,,,,,,,,
Government Service Insurance System,GSIS-Annual-Report-2023,310,True,False,True,False,True,False,True,English,Philippines,29.0,0,0.5612955494096958,Government of France,,,,,,,,,,,,,,,,
State Universities Retirement System of Illinois,SURSI-Annual-Comprehensive-Report-2023,311,False,True,False,False,False,False,False,English,USA,29.0,1,0.4900113179696988,Illinois State Treasurer,,,,,,,,,,,,,,,,
Montana Board of Investment,MBI-Annual-Report-2023,312,False,False,False,False,False,False,True,English,USA,29.0,0,0.5803265149679835,Montana Capital Partners AG,,,,,,,,,,,,,,,,
Accident Compensation Corporation,ACC-Annual-Report-2023,313,False,True,False,True,True,True,False,English,New Zealand,29.0,0,1.0000000000000002,Accident Compensation Corporation,UNPRI,General,Paris Aligned Asset Owners,Climate Change,,,,,,,,,,,,
Malaysia Khazanah Nasional,Khazana-Annual-Review-2023,314,True,True,True,False,True,True,True,English,Malaysia,29.0,0,0.7093285313627317,Khazanah Nasional Berhad,,,,,,,,,,,,,,,,
DUMAC (Duke University Investment),Duke-Endowment-2023,315,False,False,False,False,False,False,False,English,USA,28.0,1,0.4307243012708436,TED University,,,,,,,,,,,,,,,,
United Airlines Holdings,UAH-Annual-Report-2023,316,True,False,True,True,True,False,False,English,USA,28.0,0,0.44058610019135636,United Benefits Holding,,,,,,,,,,,,,,,,
B.C. Teachers Pension Plan,BCTPP-Annual-Report-2023,317,False,True,False,True,True,False,False,English,Canada,28.0,0,0.7663751272406553,Ontario Teachers' Pension Plan,,,,,,,,,,,,,,,,
Walt Disney Pension,,318,,,,,,,,,USA,28.0,0,0.318164678628182,AP Pension,,,,,,,,,,,,,,,,
Kentycky Teachers' Retirement System,TRSSK-Annual-Comprehensive-Report-2023,319,False,True,False,False,False,False,False,English,USA,27.0,0,0.6025799935450571,New York State Teachers' Retirement System,,,,,,,,,,,,,,,,
Super SA,Super-SA-Annual-Report-2023,320,False,True,False,False,False,False,False,English,Australia,27.0,0,0.7390913960332112,Rei Super,,,,,,,,,,,,,,,,
Government Employees Super Board,GESB-Annual-Report-2023,321,True,True,False,False,False,False,False,English,Australia,27.0,0,0.5749723834685991,Local Government Super,,,,,,,,,,,,,,,,
Teachers' Retirement System of Louisiana,TRSL-Annual-Comprehensive-Report-2023,322,True,False,False,False,False,False,False,English,USA,27.0,0,0.6073169578268545,Teachers' Retirement System of the City of New York,,,,,,,,,,,,,,,,
West Virginia Public Employees' Retirement System,WVPERS-Annual-Comprehensive-Report-2023,323,False,False,False,False,False,False,False,English,USA,26.0,1,0.6640776922570486,California Public Employees' Retirement System,,,,,,,,,,,,,,,,
SUNY,,324,,,,,,,,,USA,26.0,0,0.20559872555173486,Sunny Asset Management,,,,,,,,,,,,,,,,
Wespath Benefits,Wespath-Benefits-Annual-Report-2023,325,True,True,True,False,True,False,False,English,USA,26.0,0,0.8914163715068149,Wespath Benefits and Investments,,,,,,,,,,,,,,,,
Kansas Public Employees Retirement System,KPERS-Annual-Comprehensive-Report-2023,326,False,False,False,False,False,False,False,English,USA,26.0,1,0.7064504046700102,Maine Public Employee Retirement System,,,,,,,,,,,,,,,,
Public Service Pension Fund of Taiwan,PSPFT-Annual-Report-2023,327,True,True,False,False,False,False,False,English,Taiwan,25.0,0,0.5526826586962515,Bank of Taiwan,,,,,,,,,,,,,,,,
State Super (SAS Trustee),State-Super-Annual-Report-2023,328,False,True,False,True,True,False,False,English,Australia,25.0,0,0.7607614550309605,SAS Trustee Corporation,,,,,,,,,,,,,,,,
Porvenir,,329,,,,,,,,,Colombia,25.0,0,1.0000000000000002,Porvenir,UNPRI,General,,,,,,,,,,,,,,
PepsiCo Pension,,330,,,,,,,,,USA,25.0,0,0.37070216448871846,AP Pension,,,,,,,,,,,,,,,,
Massachusetts institute of Technology Investment Management Company (MITIMCo),MITTreasurersReport2023,331,False,False,False,False,False,False,False,English,USA,25.0,1,0.46549652005198927,Massachusetts Financial Services,,,,,,,,,,,,,,,,
National Railroad Retirement NRRIT,NRRIT-Annual-Management-Report-2023,332,False,False,False,False,False,False,False,English,USA,24.0,1,0.5200886699870148,Railroad Ranch Capital Management,,,,,,,,,,,,,,,,
Emergency Services & State Super (ESSSuper),ESSSuper-Annual-Report-2023,333,True,True,False,True,True,False,False,English,Australia,24.0,0,0.6450841686718443,ESSSuper,,,,,,,,,,,,,,,,
PG&E,PGE-Annual-Report-2023,334,True,True,True,False,False,False,False,English,USA,24.0,0,0.2084788765544784,APG,,,,,,,,,,,,,,,,
Public Employee Retirement System of Idaho (PERSI),PERSI-Annual-Report-2023,335,False,True,False,False,False,True,False,English,USA,24.0,0,0.6990179428975315,Maine Public Employee Retirement System,,,,,,,,,,,,,,,,
Employees' Retirement System of Georgia,ERSG-Annual-Comprehensive-Report-2023,336,False,False,False,False,False,False,False,English,USA,24.0,1,0.6522615849538127,New York City Employees Retirement System,,,,,,,,,,,,,,,,
Los Angeles City Employees Retirement LACERS,LACERS-Annual-Comprehensive-Report-2023,337,False,True,False,False,False,False,False,English,USA,23.0,0,0.9383796121269811,Los Angeles City Employees' Retirement System (LACERS),UNPRI,General,,,,,,,,,,,,,,
Petros Pension,Petros-Pension-Annual-Report-2023,338,True,True,False,False,False,False,False,English,Brazil,23.0,0,0.4276041317633924,AP Pension,,,,,,,,,,,,,,,,
Employees' Retirement System of State of Hawaii,ERSH-Annual-Comprehensive-Report-2023,339,False,False,False,False,False,False,False,English,USA,23.0,1,0.9811870263938337,Employees Retirement System of the State of Hawaii,CA100+,Climate change,UNPRI,General,,,,,,,,,,,,
Oklahoma Teachers Retirement System,OTRS-Annual-Comprehensive-Report-2022,340,False,True,False,False,False,False,False,English,USA,23.0,0,0.596197485682014,New York State Teachers' Retirement System,,,,,,,,,,,,,,,,
Ontario Pension Board,OPB-Annual-Report-2023,341,False,True,False,False,False,False,False,English,Canada,23.0,0,1.0,Ontario Pension Board,UNPRI,General,,,,,,,,,,,,,,
Hydro-Quebec,Hydro-Quebec-Annual-Report-2023,342,True,False,False,False,False,False,False,English,Canada,23.0,0,0.6819276987673327,Régime de retraite d'Hydro-Québec,,,,,,,,,,,,,,,,
Air Canada,Air-Canada-Annual-Report-2023,343,True,True,False,True,True,True,True,English,Canada,23.0,0,0.5460997175313949,Trans-Canada Capital Inc.,,,,,,,,,,,,,,,,
Prudential Financial,Preduntial-Financial-Annual-Report-2023,344,False,False,False,False,False,False,False,English,USA,23.0,1,0.8400837374450342,Prudential,,,,,,,,,,,,,,,,
Canada Post Pension,Canada-Post-Pension-Annual-Report-2023,345,True,True,True,True,True,False,False,English,Canada,23.0,0,0.8964280976884937,Canada Post Corporation Pension Plan,,,,,,,,,,,,,,,,
Arkansas Teacher Retirement System,ATRS-Annual-Comprehensive-Report-2023,346,False,True,False,False,False,False,False,English,USA,22.0,0,0.5774068635704039,Teacher’s Retirement System of the City of New York,,,,,,,,,,,,,,,,
Orange County Employees Retirement System,OCERS-Annual-Comprehensive-Report-2023,347,False,False,False,False,False,False,False,English,USA,22.0,1,0.6730699247613892,Montgomery County Employees' Retirement System,,,,,,,,,,,,,,,,
Truist Financial,Truist-Financial-Annual-Report-2023,348,False,True,False,False,False,True,False,English,USA,22.0,0,1.0,Truist Financial Corporation,PCAF,Climate Change,,,,,,,,,,,,,,
Ohio Bureau of Workers Compensation,Ohio-Bureau-Workers-Compensation-Annual-Report-2023,349,False,True,False,False,False,False,False,English,USA,22.0,1,0.438363535023372,Accident Compensation Corporation,,,,,,,,,,,,,,,,
Johnson & Johnson Pension Plan,,350,,,,,,,,,USA,22.0,0,0.9429019781827048,Johnson & Johnson,Global Impact Investment Network,,,,,,,,,,,,,,,
University of Pennsylvania Investment Office,,351,,,,,,,,,USA,22.0,0,0.5208260107401621,Tufts University Investment Office,,,,,,,,,,,,,,,,
Quebec Construction Industry,Quebec-Construction-Annual-Report-2023,352,False,True,False,False,False,False,False,French,Canada,22.0,0,0.5013088348575749,Bank of Industry Limited,,,,,,,,,,,,,,,,
Howard Hughes Medical Institute,,353,,,,,,,,,USA,21.0,0,0.37517171242517544,CFA Institute,,,,,,,,,,,,,,,,
Los Angeles Water and Power Employees Retirement Plan,RPO-Annual-Summary-Report-2023,354,False,True,False,False,False,False,False,English,USA,21.0,0,0.638372116917912,Los Angeles County Employees Retirement Association,,,,,,,,,,,,,,,,
Bell Canada,,355,,,,,,,,,Canada,21.0,0,0.5164960545040123,Trans-Canada Capital Inc.,,,,,,,,,,,,,,,,
South Dokato Investment Council,SDIC-Annual-Report-2023,356,False,True,False,False,False,False,False,English,USA,20.0,1,0.45205145442459777,South West Catchments Council,,,,,,,,,,,,,,,,
Merck & Co Inc Pension Fund,,357,,,,,,,,,USA,20.0,0,0.5171846967910212,BP Pension Fund,,,,,,,,,,,,,,,,
The Korea Teachers Pension,,358,,,,,,,,,South Korea,20.0,0,0.5424076822667565,Ontario Teachers' Pension Plan,,,,,,,,,,,,,,,,
Brighter Super,Brighter-Super-Annual-Report-2023_24,359,False,True,False,False,False,False,False,English,Australia,20.0,0,0.5616683493122319,Brightest,,,,,,,,,,,,,,,,
Spirit Super (MTAA & Tasplan),Spirit-Super-Annual-Report-2023,360,True,True,True,False,True,True,False,English,Australia,20.0,0,0.6405419014705978,Spirit Super,,,,,,,,,,,,,,,,
North Dakota State Investment Board,NDRIO-Annual-Report-2023,361,False,False,False,False,False,False,False,English,USA,20.0,1,0.47594254731251456,Minnesota State Board of Investment,,,,,,,,,,,,,,,,
Maine Public Employees Retirement System,MPERS-Annual-Comprehensive-Report-2023,362,False,False,False,False,False,False,False,English,USA,20.0,1,0.9398011455107778,Maine Public Employee Retirement System,Ceres Investor Network on Climate Risk and Sustainability,General,,,,,,,,,,,,,,
Dow Chemical Pension,Dow-Chemical-Annual-Report-2023,363,True,True,False,True,True,False,True,English,USA,20.0,0,0.6067645621583745,POSCO CHEMICAL,,,,,,,,,,,,,,,,
University of Michigan Investment Office,University-Michigan-Endowment-2023,364,True,False,True,True,True,True,False,English,USA,19.0,0,0.5810817750036623,Tufts University Investment Office,,,,,,,,,,,,,,,,
School Employees Retirement System of Ohio,SERSO-Annual-Comprehensive-Report-2023,365,False,True,False,False,False,False,False,English,USA,19.0,0,0.6204894537420561,New York City Employees Retirement System,,,,,,,,,,,,,,,,
University of Notre Dame Endownment,,366,,,,,,,,,USA,19.0,0,0.3811595856456904,University of Guelph Endowment,,,,,,,,,,,,,,,,
Ohio Police and Fire Pension Fund,OPF-Annual-Comprehensive-Report-2023,367,False,True,False,False,False,False,False,English,USA,19.0,0,0.5434624888423075,Fire and Police Pension Association of Colorado,,,,,,,,,,,,,,,,
FCA US,FCA-US-Annual-Report-2023,368,False,False,False,False,False,False,False,English,USA,18.0,1,0.26214992014153504,CP Capital US,,,,,,,,,,,,,,,,
The Federal Economists Foundation,FUNCEF-Annual-Report-2023,369,True,True,False,False,False,False,False,Portuguese,Brazil,18.0,0,0.5100165750287522,Caixa Econômica Federal,,,,,,,,,,,,,,,,
OPSEU pension Trust,OPSEU-Annual-Funded-Status-Report-2023,370,True,True,False,True,True,False,False,English,Canada,18.0,0,0.47609030266623736,BBC Pension Trust,,,,,,,,,,,,,,,,
San Diego County Employees Retirement Association,SDCERA-Annual-Comprehensive-Report-2023,371,False,False,False,False,False,False,False,English,USA,18.0,1,0.7177970220003674,Los Angeles County Employees Retirement Association,,,,,,,,,,,,,,,,
National Electric Benefit Fund,,372,,,,,,,,,USA,18.0,0,0.4834043890949882,green benefit AG,,,,,,,,,,,,,,,,
Bank of America Pension Fund,,373,,,,,,,,,USA,18.0,0,0.8160486491292394,Bank of America,,,,,,,,,,,,,,,,
Church Pension Fund US,Church-Pension-Fund-Annual-Report-2023,374,True,True,False,False,False,False,False,English,USA,18.0,0,0.9383514658378072,Church Pension Fund,UNPRI,General,,,,,,,,,,,,,,
Public Employees Retirement Association of New Mexico,PERA-Annual-Comprehensive-Report-2023,375,False,False,False,False,False,False,False,English,USA,18.0,1,0.5685086427976208,Los Angeles County Employees Retirement Association,,,,,,,,,,,,,,,,
New Mexico Educational Retirement Board,,376,,,,,,,,,USA,18.0,0,0.6210160490627401,New York City Board of Education Retirement System (BERS),,,,,,,,,,,,,,,,
Alberta Teachers' Retirement Fund,ATRF-Annual-Report-2023,377,True,True,False,False,False,False,False,English,Canada,17.0,0,0.5529589438809903,Alberta Investment Management Corporation,,,,,,,,,,,,,,,,
General Dynamics Pension Fund,,378,,,,,,,,,USA,16.0,0,0.7127975346581125,Capital Dynamics,,,,,,,,,,,,,,,,
Louisiana State Employees' Retirement System,LASERS-Annual-Comprehensive-Report-2023,379,False,True,False,False,False,False,False,English,USA,16.0,0,0.5982445970038378,Employees Retirement System of the State of Hawaii,,,,,,,,,,,,,,,,
Eli Lilly,,380,,,,,,,,,USA,16.0,0,0.1689507895058847,Coeli,,,,,,,,,,,,,,,,
Delta Airlines Pension Fund,Delta-Report-Financial-Statement-2023,381,False,True,False,False,False,True,False,English,USA,16.0,0,0.4226535920846958,Impact Delta,,,,,,,,,,,,,,,,
International Paper Pension,,382,,,,,,,,,USA,16.0,0,0.6124302651545634,Capital International Limited,,,,,,,,,,,,,,,,
Consolidated Edison,Consolidated-Edison-Annual-Report-2023,383,True,False,True,False,True,False,True,English,USA,15.0,0,0.2407832379369888,Banco Solidario,,,,,,,,,,,,,,,,
San Bernandino County Employees Retirement Association,SBCERA-Annual-Comprehensive-Report-2023,384,False,False,False,False,False,False,False,English,USA,15.0,1,0.6611267620480323,Los Angeles County Employees Retirement Association,,,,,,,,,,,,,,,,
Columbia Investment Management Company,,385,,,,,,,,,USA,15.0,0,0.8252991866228683,"Columbia Management Investment Advisers, LLC",,,,,,,,,,,,,,,,
Southern Co,Southern-Co-Annual-Report-2023,386,False,False,True,True,False,False,True,English,USA,15.0,0,0.8465404891134236,Southern Asset Management,,,,,,,,,,,,,,,,
Government Pension Fund Global,GPFT-Annual-Risk-Report-2023,387,False,False,False,False,False,False,False,Thai,Thailand,15.0,1,0.7949791671049817,Government Pension Investment Fund,,,,,,,,,,,,,,,,
University of Virginia Investment Management Company,UVIMCO-Annual-Report-2023,388,True,False,True,True,True,True,True,English,USA,14.0,1,1.0000000000000002,University of Virginia Investment Management Company,Ceres Investor Network on Climate Risk and Sustainability,General,,,,,,,,,,,,,,
3M,3M-Annual-Report-2023,389,True,False,False,False,False,False,False,English,USA,14.0,0,0.0,123 Investment Managers,,,,,,,,,,,,,,,,
Northwestern University Investment Office,Northwestern-Endowment-2023,390,False,True,False,False,False,False,False,English,USA,14.0,1,0.8575395769244887,Northwestern University,,,,,,,,,,,,,,,,
Public Service Pension Plan Canada,PSPPC-Annual-Report-2023,391,False,True,False,False,False,False,False,English,Canada,13.0,0,0.605611747694852,Canada Post Corporation Pension Plan,,,,,,,,,,,,,,,,
Sacramento County Employees Retirement System,SCERS-Annual-Comprehensive-Report-2023,392,False,False,False,False,False,False,False,English,USA,13.0,1,0.6046259226396635,Montgomery County Employees' Retirement System,,,,,,,,,,,,,,,,
Oslo Pensjonsforsikring OPF,OPF-Annual-Report-2023,393,True,True,False,True,True,True,False,Norwegian,Norway,13.0,1,0.48359155471875526,LB Forsikring,,,,,,,,,,,,,,,,
Banco Santander UK,Santander-UK-Annual-Report-2023,394,True,True,False,True,True,False,False,English,UK,14.0,0,0.959026616787642,Banco Santander,TNFD Forum,Climate Change,PCAF,Climate Change,,,,,,,,,,,,
Kapan Tjanstepensionsforening (Government Employees Pension Fund),Kapan-Annual-Report-2023,395,False,True,False,False,True,False,False,English,Sweden,14.0,0,0.7476909645132553,SPK Pension Tjänstepensionsförening,,,,,,,,,,,,,,,,
APK Aargauische Pensionskasse,APK-Annual-Report-2023,396,False,True,False,False,True,False,False,German,Switzerland,14.0,0,0.9314356279767589,Aargauische Pensionskasse,CA100+,Climate change,,,,,,,,,,,,,,
EPPF,EPPF_2024_IAR_-_Finalised_-_Single_page_view,397,True,True,True,True,True,False,False,English,South Africa,,0,0.0847515927940543,IPF Management SA,,,,,,,,,,,,,,,,
Lífeyrissjóður verzlunarmanna,english-arsreikningur_2023_150324_net_intera,398,True,True,False,False,False,False,False,English,Iceland,,0,0.7747706775558432,Lifeyrissjodur Verzlunarmanna (Pension Fund of Commerce),,,,,,,,,,,,,,,,
Washington University Investment Management Company,CRTV-5969-Endowment-Annual-Report-23-24-DIGITAL,399,False,True,False,False,False,False,False,English,USA,,0,0.6708805993704477,Washington State Investment Board,,,,,,,,,,,,,,,,
Alameda County Employees' Retirement Association,06.26_acfr_2024_05,400,False,True,False,False,False,False,False,English,USA,,0,0.7161925911442942,Los Angeles County Employees Retirement Association,,,,,,,,,,,,,,,,
